SMILES,PCE
CCCCCCCCC1=C(C2=C3C(=O)N(CC(CC)CCCC)C(=O)C3=C(C3=CC=C(C4=C5C(=O)N(CC(CC)CCCC)C(=O)C5=C(C5=C(CCCCCCCC)C=C(/C=C6/SC(=C(C#N)C#N)N(CC)C6C)S5)S4)C4=NSN=C34)S2)SC(/C=C2/SC(=C(C#N)C#N)N(CC)C2=O)=C1,9.41
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\C(=O)C5=C(C=C(Cl)C(Cl)=C5)C2=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=C(F)C(F)=C(C4=CC5=C(S4)C4=C(C=C6C(=C4)C(C4=CC=C(CCCCCC)C=C4)(C4=CC=C(CCCCCC)C=C4)C4=C6SC(/C=C6\C(=O)C7=C(C=C(Cl)C(Cl)=C7)C6=C(C#N)C#N)=C4)C5(C4=CC=C(CCCCCC)C=C4)C4=CC=C(CCCCCC)C=C4)C4=NSN=C43)=C2)C=C1,12.5
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\C(=O)C5=C(C=C(Cl)C(Cl)=C5)C2=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=C(F)C(F)=C(C4=CC5=C(S4)C4=C(C=C6C(=C4)C(C4=CC=C(CCCCCC)C=C4)(C4=CC=C(CCCCCC)C=C4)C4=C6SC(/C=C6\C(=O)C7=C(C=C(Cl)C(Cl)=C7)C6=C(C#N)C#N)=C4)C5(C4=CC=C(CCCCCC)C=C4)C4=CC=C(CCCCCC)C=C4)C4=NON=C43)=C2)C=C1,10.4
CCCCC(CC)COC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4/C(=O)C5=CC6=CC(F)=C(F)C=C6C=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCC)CC(CC)CCCC)=C(OCC(CC)CCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3/C(=O)C4=C(C=C5C=C(F)C(F)=CC5=C4)C3=C(C#N)C#N)S1)C2(CC(CC)CC)CC(CC)CCC,13.24
CCCCC(CC)COC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4/C(=O)C5=CC6=CC=C(F)C=C6C=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCC)CC(CC)CCCC)=C(OCC(CC)CCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3/C(=O)C4=C(C=C5C=C(F)C=CC5=C4)C3=C(C#N)C#N)S1)C2(CC(CC)CC)CC(CC)CCC,14.53
CCCCC(CC)COC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4/C(=O)C5=CC6=CC=CC=C6C=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCC)CC(CC)CCCC)=C(OCC(CC)CCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3/C(=O)C4=C(C=C5C=CC=CC5=C4)C3=C(C#N)C#N)S1)C2(CC(CC)CC)CC(CC)CCC,11
CCCCC(CC)CC1=C2C(=O)C3=C(C4=CC5=C(S4)C4=C(C=C(/C=C6\C(=O)C7=C(C=C(F)C(F)=C7)C6=C(C#N)C#N)S4)C5(CC(CC)CCCC)CC(CC)CCCC)SC(C4=CC5=C(S4)C4=C(C=C(/C=C6\C(=O)C7=C(C=C(F)C(F)=C7)C6=C(C#N)C#N)S4)C5(CC(CC)CCCC)CC(CC)CCCC)=C3C(=O)C2=C(CC(CC)CCCC)S1,6.58
CCCCCCCC1(CCCCCC)C2=C(SC(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=C3C(=O)C4=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C4C(=O)C3=C(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CCCCCC)CCCCCC)S1)S2,11.25
CCCCCCCCOC1=CC=CC(OCCCCCCCC)=C1C1=C(C2=CC=C(/C=C3\C(=O)C4=C(C=C5C=C(Cl)C(Cl)=CC5=C4)C3=C(C#N)C#N)S2)SC(C2=CC(OCC(CC)CCCC)=C(C3=CC(C4=C(OCCCCCCCC)C=CC=C4OCCCCCCCC)=C(C4=CC=C(/C=C5\C(=O)C6=C(C=C7C=C(Cl)C(Cl)=CC7=C6)C5=C(C#N)C#N)S4)S3)C=C2OCC(CC)CCCC)=C1,13.76
CCCCCCOC1=CC=CC(OCCCCCC)=C1C1=C(C2=C(C3=C(OCCCCCC)C=CC=C3OCCCCCC)C=C(C3=CC=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S3)S2)SC(C2=CC=C(/C=C3\C(=O)C4=CC(F)=C(F)C=C4C3=C(C#N)C#N)S2)=C1,10.26
